epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.58546,0.95162,0.61957,1,0.69759,0.000319508,0.000319508,0.000319508
2,11.3055,0.63563,0.66848,1,0.61768,0.000652796,0.000652796,0.000652796
3,14.2576,0.54854,0.70109,1,0.54028,0.000985632,0.000985632,0.000985632
4,17.0797,0.54713,0.74457,1,0.5341,0.00131767,0.00131767,0.00131767
5,19.7753,0.53459,0.7337,1,0.55632,0.00164858,0.00164858,0.00164858
6,22.5095,0.58125,0.67935,1,0.64819,0.00165987,0.00165987,0.00165987
7,25.2457,0.51503,0.72283,1,0.52653,0.00165674,0.00165674,0.00165674
8,27.9437,0.49719,0.73913,1,0.58708,0.00165304,0.00165304,0.00165304
9,30.6458,0.57271,0.72826,1,0.6735,0.00164879,0.00164879,0.00164879
10,33.2363,0.53537,0.72826,1,0.50277,0.00164397,0.00164397,0.00164397
11,35.982,0.52051,0.73913,1,0.64616,0.0016386,0.0016386,0.0016386
12,38.6887,0.4891,0.74457,1,0.49748,0.00163268,0.00163268,0.00163268
13,41.2846,0.46367,0.7663,1,0.57031,0.00162621,0.00162621,0.00162621
14,43.9606,0.45978,0.7337,1,0.57699,0.00161919,0.00161919,0.00161919
15,46.604,0.49055,0.74457,1,0.6359,0.00161164,0.00161164,0.00161164
16,49.4505,0.4523,0.74457,1,0.55941,0.00160355,0.00160355,0.00160355
17,52.1104,0.45332,0.70109,1,0.69368,0.00159494,0.00159494,0.00159494
18,54.8569,0.49435,0.7663,1,0.54346,0.0015858,0.0015858,0.0015858
19,57.6311,0.5108,0.77717,1,0.61401,0.00157615,0.00157615,0.00157615
20,60.3568,0.48458,0.71196,1,0.59351,0.00156599,0.00156599,0.00156599
21,63.1289,0.46638,0.73913,1,0.48527,0.00155533,0.00155533,0.00155533
22,65.8671,0.43388,0.74457,1,0.5201,0.00154418,0.00154418,0.00154418
23,68.5745,0.41146,0.77174,1,0.5966,0.00153253,0.00153253,0.00153253
24,71.2137,0.42098,0.72283,1,0.55941,0.00152041,0.00152041,0.00152041
25,73.9047,0.41553,0.75,1,0.53646,0.00150782,0.00150782,0.00150782
26,76.5991,0.39613,0.75,1,0.566,0.00149476,0.00149476,0.00149476
27,79.2497,0.45569,0.74457,1,0.60352,0.00148125,0.00148125,0.00148125
28,81.8642,0.444,0.74457,1,0.53532,0.0014673,0.0014673,0.0014673
29,84.5003,0.43762,0.72826,1,0.72176,0.00145291,0.00145291,0.00145291
30,87.1674,0.41925,0.78261,1,0.51538,0.0014381,0.0014381,0.0014381
31,89.87,0.44488,0.7337,1,0.70329,0.00142287,0.00142287,0.00142287
32,92.4831,0.47551,0.76087,1,0.61149,0.00140724,0.00140724,0.00140724
33,95.19,0.48702,0.7663,1,0.62231,0.00139122,0.00139122,0.00139122
34,97.9266,0.44464,0.74457,1,0.74788,0.00137482,0.00137482,0.00137482
