epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,100.603,0.4516,0.77174,1,0.63086,0.00135804,0.00135804,0.00135804
36,103.32,0.40416,0.7337,1,0.68311,0.0013409,0.0013409,0.0013409
37,105.956,0.38647,0.77717,1,0.54818,0.00132342,0.00132342,0.00132342
38,108.558,0.39982,0.79891,1,0.57438,0.0013056,0.0013056,0.0013056
39,111.132,0.4128,0.78804,1,0.64225,0.00128746,0.00128746,0.00128746
40,113.89,0.41689,0.78261,1,0.44613,0.001269,0.001269,0.001269
41,116.56,0.3474,0.79348,1,0.5966,0.00125025,0.00125025,0.00125025
42,119.185,0.39581,0.79348,1,0.559,0.00123121,0.00123121,0.00123121
43,121.785,0.40318,0.77174,1,0.66073,0.0012119,0.0012119,0.0012119
44,124.447,0.41135,0.78261,1,0.57243,0.00119233,0.00119233,0.00119233
45,127.188,0.37738,0.79891,1,0.51961,0.00117252,0.00117252,0.00117252
46,129.828,0.41656,0.77717,1,0.58675,0.00115247,0.00115247,0.00115247
47,132.55,0.39418,0.75,1,0.50106,0.0011322,0.0011322,0.0011322
48,135.35,0.39597,0.78804,1,0.61312,0.00111173,0.00111173,0.00111173
49,138.051,0.41573,0.78804,1,0.57194,0.00109107,0.00109107,0.00109107
50,140.821,0.37895,0.79891,1,0.54932,0.00107023,0.00107023,0.00107023
51,143.464,0.4082,0.78804,1,0.62174,0.00104923,0.00104923,0.00104923
52,146.124,0.42083,0.82065,1,0.53923,0.00102808,0.00102808,0.00102808
53,148.857,0.37158,0.81522,1,0.49023,0.0010068,0.0010068,0.0010068
54,151.506,0.38661,0.77717,1,0.56087,0.000985394,0.000985394,0.000985394
55,154.223,0.35997,0.77174,1,0.57202,0.000963889,0.000963889,0.000963889
56,157.035,0.37546,0.79348,1,0.5437,0.000942294,0.000942294,0.000942294
57,159.871,0.4101,0.78261,1,0.66797,0.000920625,0.000920625,0.000920625
58,162.663,0.37811,0.78804,1,0.55957,0.000898896,0.000898896,0.000898896
59,165.537,0.38147,0.80978,1,0.56893,0.000877123,0.000877123,0.000877123
60,168.457,0.34607,0.78804,1,0.50895,0.000855319,0.000855319,0.000855319
61,171.278,0.37097,0.79348,1,0.51164,0.000833501,0.000833501,0.000833501
62,175.448,0.38673,0.75,1,0.59912,0.000811682,0.000811682,0.000811682
63,178.27,0.389,0.78804,1,0.54769,0.000789879,0.000789879,0.000789879
64,181.067,0.32696,0.79891,1,0.62207,0.000768105,0.000768105,0.000768105
65,183.828,0.39136,0.78804,1,0.65291,0.000746376,0.000746376,0.000746376
66,186.66,0.31349,0.79891,1,0.6464,0.000724707,0.000724707,0.000724707
67,189.505,0.36888,0.78804,1,0.65706,0.000703113,0.000703113,0.000703113
68,192.283,0.31316,0.82065,1,0.57031,0.000681608,0.000681608,0.000681608
69,195.166,0.37589,0.78261,1,0.63232,0.000660207,0.000660207,0.000660207
70,197.947,0.35241,0.78804,1,0.56925,0.000638924,0.000638924,0.000638924
71,200.853,0.32817,0.81522,1,0.62223,0.000617775,0.000617775,0.000617775
72,203.771,0.29548,0.77717,1,0.56356,0.000596774,0.000596774,0.000596774
73,206.573,0.31273,0.79348,1,0.66276,0.000575935,0.000575935,0.000575935
74,209.385,0.29137,0.77717,1,0.60368,0.000555273,0.000555273,0.000555273
75,212.145,0.3325,0.79891,1,0.55111,0.000534801,0.000534801,0.000534801
76,214.955,0.29299,0.80978,1,0.60457,0.000514535,0.000514535,0.000514535
77,217.659,0.30505,0.78261,1,0.77148,0.000494486,0.000494486,0.000494486
