epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.42085,0.94255,0.625,1,0.69238,0.000319508,0.000319508,0.000319508
2,12.7885,0.62638,0.70109,1,0.59391,0.000652796,0.000652796,0.000652796
3,15.6736,0.5559,0.71196,1,0.54785,0.000985632,0.000985632,0.000985632
4,18.4426,0.55195,0.71196,1,0.59945,0.00131767,0.00131767,0.00131767
5,21.2244,0.52711,0.73913,1,0.63411,0.00164858,0.00164858,0.00164858
6,23.953,0.58859,0.72283,1,0.63086,0.00165987,0.00165987,0.00165987
7,26.6597,0.50712,0.73913,1,0.52393,0.00165674,0.00165674,0.00165674
8,29.3731,0.49916,0.72826,1,0.54842,0.00165304,0.00165304,0.00165304
9,32.0217,0.5413,0.7337,1,0.84245,0.00164879,0.00164879,0.00164879
10,34.8345,0.4784,0.7663,1,0.52873,0.00164397,0.00164397,0.00164397
11,37.564,0.52064,0.73913,1,0.58366,0.0016386,0.0016386,0.0016386
12,40.1253,0.46088,0.76087,1,0.57503,0.00163268,0.00163268,0.00163268
13,42.687,0.45244,0.78804,1,0.52262,0.00162621,0.00162621,0.00162621
14,45.3656,0.45945,0.7663,1,0.52295,0.00161919,0.00161919,0.00161919
15,48.0914,0.46733,0.76087,1,0.68538,0.00161164,0.00161164,0.00161164
16,50.8107,0.46608,0.74457,1,0.53516,0.00160355,0.00160355,0.00160355
17,53.5093,0.49711,0.73913,1,0.65479,0.00159494,0.00159494,0.00159494
18,56.1502,0.50168,0.77174,1,0.50586,0.0015858,0.0015858,0.0015858
19,58.7318,0.49727,0.71739,1,0.63721,0.00157615,0.00157615,0.00157615
20,61.3877,0.48009,0.76087,1,0.54761,0.00156599,0.00156599,0.00156599
21,64.0662,0.48664,0.75543,1,0.56136,0.00155533,0.00155533,0.00155533
22,66.7018,0.42858,0.75543,1,0.53084,0.00154418,0.00154418,0.00154418
23,69.2858,0.43263,0.74457,1,0.58057,0.00153253,0.00153253,0.00153253
24,71.8451,0.41919,0.76087,1,0.5009,0.00152041,0.00152041,0.00152041
25,74.3096,0.42998,0.78261,1,0.45955,0.00150782,0.00150782,0.00150782
26,76.9054,0.46743,0.76087,1,0.49943,0.00149476,0.00149476,0.00149476
27,79.3734,0.44727,0.78261,1,0.48071,0.00148125,0.00148125,0.00148125
28,81.9163,0.46025,0.75543,1,0.54834,0.0014673,0.0014673,0.0014673
29,84.5904,0.39974,0.77174,1,0.51025,0.00145291,0.00145291,0.00145291
30,87.0999,0.41202,0.75543,1,0.53491,0.0014381,0.0014381,0.0014381
31,89.6972,0.42945,0.77174,1,0.57267,0.00142287,0.00142287,0.00142287
32,92.3589,0.456,0.79348,1,0.54427,0.00140724,0.00140724,0.00140724
33,94.9167,0.46379,0.7663,1,0.46981,0.00139122,0.00139122,0.00139122
34,97.3308,0.4475,0.78804,1,0.53784,0.00137482,0.00137482,0.00137482
35,99.8117,0.43555,0.80978,1,0.52311,0.00135804,0.00135804,0.00135804
36,102.39,0.41148,0.70109,1,0.69922,0.0013409,0.0013409,0.0013409
37,105.071,0.39835,0.77717,1,0.5026,0.00132342,0.00132342,0.00132342
38,107.696,0.38266,0.77174,1,0.5354,0.0013056,0.0013056,0.0013056
39,110.385,0.40938,0.79891,1,0.60986,0.00128746,0.00128746,0.00128746
40,113.027,0.41454,0.75,1,0.56982,0.001269,0.001269,0.001269
41,115.695,0.37771,0.80978,1,0.66593,0.00125025,0.00125025,0.00125025
42,118.281,0.39873,0.76087,1,0.59017,0.00123121,0.00123121,0.00123121
43,120.956,0.38725,0.78804,1,0.67969,0.0012119,0.0012119,0.0012119
44,123.614,0.39656,0.77174,1,0.5214,0.00119233,0.00119233,0.00119233
45,126.266,0.37872,0.78804,1,0.56722,0.00117252,0.00117252,0.00117252
46,128.9,0.41624,0.78804,1,0.51961,0.00115247,0.00115247,0.00115247
47,131.623,0.37329,0.79348,1,0.54842,0.0011322,0.0011322,0.0011322
48,134.278,0.35539,0.79891,1,0.57487,0.00111173,0.00111173,0.00111173
