epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
49,136.896,0.4066,0.77174,1,0.50448,0.00109107,0.00109107,0.00109107
50,139.546,0.35169,0.81522,1,0.5472,0.00107023,0.00107023,0.00107023
51,142.35,0.40467,0.79348,1,0.49154,0.00104923,0.00104923,0.00104923
52,145.247,0.42099,0.77717,1,0.49504,0.00102808,0.00102808,0.00102808
53,148.217,0.36754,0.77174,1,0.47314,0.0010068,0.0010068,0.0010068
54,151.091,0.32812,0.83152,1,0.54761,0.000985394,0.000985394,0.000985394
55,153.966,0.38441,0.78804,1,0.55591,0.000963889,0.000963889,0.000963889
56,156.538,0.37932,0.82065,1,0.46973,0.000942294,0.000942294,0.000942294
57,159.129,0.35298,0.78261,1,0.59928,0.000920625,0.000920625,0.000920625
58,161.92,0.35983,0.76087,1,0.51855,0.000898896,0.000898896,0.000898896
59,164.764,0.33104,0.80978,1,0.62939,0.000877123,0.000877123,0.000877123
60,167.528,0.34435,0.7663,1,0.57552,0.000855319,0.000855319,0.000855319
61,170.273,0.37625,0.77174,1,0.62077,0.000833501,0.000833501,0.000833501
62,174.33,0.37244,0.71739,1,0.54688,0.000811682,0.000811682,0.000811682
63,177.084,0.35836,0.79348,1,0.50163,0.000789879,0.000789879,0.000789879
64,179.88,0.32564,0.7663,1,0.71167,0.000768105,0.000768105,0.000768105
65,182.601,0.35723,0.78804,1,0.5931,0.000746376,0.000746376,0.000746376
66,185.325,0.29994,0.77717,1,0.55827,0.000724707,0.000724707,0.000724707
67,188.05,0.35753,0.77717,1,0.64648,0.000703113,0.000703113,0.000703113
68,190.872,0.3189,0.78261,1,0.57031,0.000681608,0.000681608,0.000681608
69,193.547,0.35214,0.78261,1,0.57967,0.000660207,0.000660207,0.000660207
70,196.306,0.34352,0.79348,1,0.54142,0.000638924,0.000638924,0.000638924
71,199.107,0.302,0.82065,1,0.50765,0.000617775,0.000617775,0.000617775
72,201.908,0.30002,0.79891,1,0.55387,0.000596774,0.000596774,0.000596774
73,204.451,0.30325,0.78804,1,0.63965,0.000575935,0.000575935,0.000575935
74,207.054,0.30396,0.78804,1,0.59318,0.000555273,0.000555273,0.000555273
75,209.716,0.30048,0.78804,1,0.61882,0.000534801,0.000534801,0.000534801
76,212.303,0.2831,0.78804,1,0.62744,0.000514535,0.000514535,0.000514535
77,214.819,0.30501,0.79348,1,0.73079,0.000494486,0.000494486,0.000494486
78,217.331,0.30667,0.79891,1,0.66846,0.00047467,0.00047467,0.00047467
79,219.905,0.34589,0.79891,1,0.66878,0.0004551,0.0004551,0.0004551
80,222.584,0.27187,0.79348,1,0.81201,0.000435789,0.000435789,0.000435789
81,225.224,0.32256,0.80978,1,0.68929,0.000416751,0.000416751,0.000416751
82,227.805,0.26034,0.80978,1,0.6429,0.000397999,0.000397999,0.000397999
83,230.394,0.26197,0.78261,1,0.6429,0.000379545,0.000379545,0.000379545
84,233.087,0.25267,0.78261,1,0.65942,0.000361402,0.000361402,0.000361402
